"Blue 1" "Blue 2" "Blue 3" "Blue Cargo Points" "Blue Endgame Points" "Blue Hatch Points" "Blue RP" "Blue Sandstorm Points" "Blue Score" Event "Match Number" "Match Timestamp" "Match Type" "Red 1" "Red 2" "Red 3" "Red Cargo Points" "Red Endgame Points" "Red Hatch Points" "Red RP" "Red Sandstorm Points" "Red Score"
frc2642 frc435 frc4816 24.0 9.0 4.0 2.0 12.0 49.0 2019ncpem 35.0 1553979361.0 qm frc6214 frc7675 frc4829 12.0 9.0 12.0 0.0 15.0 48.0
frc6500 frc7265 frc3796 18.0 9.0 0.0 2.0 15.0 58.0 2019ncpem 36.0 1553979776.0 qm frc7463 frc6215 frc2682 15.0 9.0 2.0 0.0 15.0 41.0
frc5160 frc5544 frc6729 27.0 3.0 12.0 2.0 15.0 60.0 2019ncpem 37.0 1553980147.0 qm frc4534 frc6004 frc7270 18.0 12.0 4.0 0.0 15.0 49.0
frc7029 frc7675 frc5511 15.0 18.0 8.0 1.0 9.0 50.0 2019ncpem 38.0 1553981084.0 qm frc3737 frc3661 frc4291 12.0 9.0 8.0 2.0 15.0 54.0
frc6426 frc7890 frc6215 0.0 9.0 2.0 0.0 9.0 20.0 2019ncpem 39.0 1553981619.0 qm frc435 frc4795 frc2682 15.0 18.0 8.0 3.0 12.0 53.0
frc6512 frc4829 frc5544 12.0 6.0 14.0 0.0 12.0 44.0 2019ncpem 4.0 1553960598.0 qm frc5511 frc7890 frc6214 18.0 21.0 4.0 3.0 15.0 58.0
frc4816 frc6214 frc7715 6.0 9.0 0.0 0.0 15.0 30.0 2019ncpem 40.0 1553982038.0 qm frc7671 frc3215 frc6639 15.0 3.0 4.0 2.0 9.0 31.0
frc5607 frc2642 frc7265 21.0 6.0 6.0 2.0 15.0 48.0 2019ncpem 41.0 1553982432.0 qm frc7443 frc6512 frc7463 9.0 9.0 4.0 0.0 15.0 37.0
frc6500 frc3822 frc3336 27.0 3.0 6.0 2.0 9.0 45.0 2019ncpem 42.0 1553982926.0 qm frc3796 frc4829 frc7739 3.0 6.0 14.0 0.0 12.0 35.0
frc6215 frc6639 frc7675 3.0 3.0 2.0 0.0 9.0 17.0 2019ncpem 43.0 1553983706.0 qm frc4291 frc4816 frc7029 18.0 6.0 0.0 2.0 9.0 33.0
frc6214 frc7463 frc6729 6.0 6.0 8.0 0.0 15.0 35.0 2019ncpem 44.0 1553984120.0 qm frc5544 frc7443 frc6004 21.0 12.0 6.0 2.0 15.0 54.0
frc6512 frc6426 frc3796 3.0 3.0 0.0 0.0 12.0 18.0 2019ncpem 45.0 1553984668.0 qm frc7890 frc2642 frc6500 24.0 6.0 8.0 2.0 9.0 56.0
frc7270 frc435 frc7265 12.0 3.0 2.0 0.0 12.0 29.0 2019ncpem 46.0 1553985060.0 qm frc4829 frc2682 frc7671 24.0 9.0 14.0 2.0 15.0 65.0
frc5511 frc4534 frc3661 21.0 18.0 8.0 3.0 12.0 59.0 2019ncpem 47.0 1553985456.0 qm frc3737 frc3822 frc7715 9.0 3.0 10.0 0.0 9.0 31.0
frc5607 frc3336 frc5160 24.0 9.0 6.0 2.0 9.0 57.0 2019ncpem 48.0 1553985890.0 qm frc7739 frc3215 frc4795 18.0 18.0 0.0 1.0 15.0 51.0
frc6500 frc6215 frc6512 18.0 3.0 0.0 0.0 9.0 30.0 2019ncpem 49.0 1553986525.0 qm frc7675 frc5544 frc7463 24.0 6.0 4.0 2.0 12.0 64.0
frc6004 frc7463 frc7715 0.0 6.0 2.0 0.0 12.0 20.0 2019ncpem 5.0 1553961156.0 qm frc6729 frc4291 frc435 12.0 3.0 6.0 2.0 12.0 33.0
frc6729 frc4534 frc7443 24.0 12.0 12.0 2.0 15.0 72.0 2019ncpem 50.0 1553986977.0 qm frc7270 frc6214 frc3661 9.0 3.0 0.0 0.0 15.0 27.0
frc4816 frc6004 frc3215 0.0 12.0 4.0 0.0 9.0 25.0 2019ncpem 51.0 1553987382.0 qm frc2642 frc6426 frc5511 21.0 15.0 6.0 3.0 9.0 51.0
frc7739 frc3336 frc4291 18.0 6.0 0.0 0.0 12.0 46.0 2019ncpem 52.0 1553987831.0 qm frc7890 frc7671 frc435 21.0 12.0 6.0 2.0 12.0 51.0
frc7265 frc3822 frc6639 6.0 18.0 8.0 1.0 15.0 47.0 2019ncpem 53.0 1553988237.0 qm frc3737 frc5160 frc4795 21.0 9.0 8.0 2.0 15.0 53.0
frc3796 frc7029 frc2682 21.0 6.0 6.0 2.0 12.0 45.0 2019ncpem 54.0 1553988608.0 qm frc7715 frc5607 frc4829 9.0 6.0 12.0 0.0 12.0 39.0
frc7739 frc5511 frc6004 15.0 21.0 4.0 3.0 15.0 55.0 2019ncpem 55.0 1554040135.0 qm frc7463 frc4816 frc6500 18.0 6.0 0.0 0.0 9.0 33.0
frc4795 frc4291 frc6215 15.0 18.0 0.0 1.0 12.0 45.0 2019ncpem 56.0 1554040570.0 qm frc2642 frc4534 frc5544 30.0 12.0 18.0 2.0 15.0 85.0
frc435 frc3737 frc6426 15.0 6.0 6.0 2.0 9.0 36.0 2019ncpem 57.0 1554040976.0 qm frc5160 frc3796 frc7270 9.0 3.0 4.0 0.0 15.0 31.0
frc7443 frc3822 frc7671 18.0 9.0 6.0 0.0 12.0 55.0 2019ncpem 58.0 1554041367.0 qm frc2682 frc7890 frc7675 21.0 12.0 8.0 2.0 15.0 56.0
frc4829 frc3661 frc6639 6.0 18.0 10.0 1.0 9.0 46.0 2019ncpem 59.0 1554041800.0 qm frc6512 frc6729 frc5607 9.0 9.0 6.0 2.0 15.0 60.0
frc7270 frc4816 frc7675 6.0 3.0 0.0 0.0 9.0 18.0 2019ncpem 6.0 1553961607.0 qm frc5607 frc4795 frc3796 15.0 15.0 0.0 3.0 15.0 45.0
frc7265 frc7029 frc6214 15.0 9.0 0.0 2.0 12.0 36.0 2019ncpem 60.0 1554042251.0 qm frc3215 frc7715 frc3336 15.0 3.0 2.0 0.0 9.0 29.0
frc5511 frc7671 frc7270 21.0 18.0 10.0 3.0 9.0 58.0 2019ncpem 61.0 1554042632.0 qm frc7463 frc2642 frc3822 24.0 3.0 4.0 0.0 15.0 46.0
frc6639 frc3737 frc7443 24.0 9.0 4.0 2.0 15.0 52.0 2019ncpem 62.0 1554043038.0 qm frc4534 frc4816 frc6512 12.0 12.0 4.0 1.0 15.0 49.0
frc3661 frc5544 frc3796 15.0 3.0 0.0 2.0 9.0 27.0 2019ncpem 63.0 1554043450.0 qm frc7265 frc3215 frc4291 9.0 6.0 0.0 0.0 6.0 21.0
frc435 frc5160 frc7029 21.0 9.0 2.0 0.0 12.0 44.0 2019ncpem 64.0 1554044095.0 qm frc6214 frc5607 frc6500 24.0 9.0 6.0 2.0 15.0 54.0
frc6426 frc6729 frc2682 24.0 6.0 4.0 0.0 15.0 49.0 2019ncpem 65.0 1554044790.0 qm frc3336 frc4829 frc6215 18.0 18.0 10.0 3.0 15.0 61.0
frc7715 frc7739 frc7890 15.0 12.0 0.0 0.0 15.0 42.0 2019ncpem 66.0 1554045196.0 qm frc4795 frc7675 frc6004 15.0 12.0 2.0 2.0 15.0 44.0
frc7443 frc3796 frc5511 12.0 18.0 6.0 1.0 12.0 58.0 2019ncpem 67.0 1554045754.0 qm frc6639 frc5607 frc4534 30.0 12.0 10.0 2.0 12.0 77.0
frc3215 frc2682 frc3822 9.0 0.0 10.0 1.0 9.0 34.0 2019ncpem 68.0 1554046212.0 qm frc7265 frc3661 frc6512 9.0 6.0 4.0 1.0 15.0 34.0
frc7270 frc4829 frc7463 9.0 18.0 12.0 3.0 15.0 57.0 2019ncpem 69.0 1554046818.0 qm frc7675 frc7715 frc5160 24.0 9.0 4.0 0.0 12.0 49.0
frc5544 frc7739 frc3737 24.0 6.0 8.0 2.0 9.0 47.0 2019ncpem 7.0 1553962052.0 qm frc2682 frc6512 frc2642 21.0 3.0 6.0 0.0 6.0 36.0
frc6214 frc7671 frc4795 15.0 9.0 2.0 0.0 15.0 44.0 2019ncpem 70.0 1554047212.0 qm frc6004 frc4291 frc6426 6.0 18.0 4.0 4.0 15.0 59.0
frc6215 frc7739 frc435 15.0 9.0 0.0 0.0 6.0 36.0 2019ncpem 71.0 1554047693.0 qm frc3737 frc6500 frc6729 27.0 9.0 12.0 2.0 15.0 66.0
frc4816 frc5544 frc7890 24.0 12.0 4.0 2.0 15.0 55.0 2019ncpem 72.0 1554048155.0 qm frc3336 frc7029 frc2642 21.0 9.0 6.0 0.0 15.0 51.0
frc3822 frc6426 frc4829 9.0 9.0 2.0 0.0 15.0 38.0 2019ncpem 8.0 1553962537.0 qm frc7463 frc3336 frc3661 12.0 6.0 0.0 2.0 15.0 43.0
frc7671 frc6729 frc7675 27.0 9.0 10.0 2.0 12.0 58.0 2019ncpem 9.0 1553962996.0 qm frc7443 frc7029 frc5607 9.0 6.0 6.0 0.0 15.0 36.0
frc3336 frc3737 frc7443 21.0 6.0 8.0 0.0 15.0 50.0 2019ncpem 1.0 1554058894.0 sf frc5544 frc5511 frc7265 27.0 18.0 8.0 0.0 15.0 68.0
frc3336 frc3737 frc7443 27.0 9.0 12.0 0.0 15.0 0.0 2019ncpem 2.0 1554060046.0 sf frc5544 frc5511 frc7265 30.0 15.0 10.0 0.0 15.0 73.0
frc7890 frc4534 frc3661 27.0 12.0 10.0 0.0 15.0 67.0 2019ncpem 1.0 1554059329.0 sf frc2682 frc4795 frc6215 27.0 18.0 10.0 0.0 15.0 73.0
frc7890 frc4534 frc3661 24.0 15.0 6.0 0.0 15.0 63.0 2019ncpem 2.0 1554060902.0 sf frc2682 frc4795 frc6215 18.0 18.0 2.0 0.0 15.0 56.0
frc7890 frc4534 frc3661 24.0 15.0 6.0 0.0 15.0 66.0 2019ncpem 3.0 1554062209.0 sf frc2682 frc4795 frc6215 24.0 15.0 6.0 0.0 9.0 54.0
